2025-12-29 15:04:11 | INFO     | HorizonAI | 🟢 Commande de démarrage d'Ollama envoyée au système.
2025-12-29 15:04:11 | INFO     | HorizonAI | 🛑 Horizon AI Backend arrêté.
2025-12-29 15:08:08 | INFO     | HorizonAI | 🚀 Horizon AI Backend démarré.
2025-12-29 15:08:08 | INFO     | HorizonAI | 🟢 Commande de démarrage d'Ollama envoyée au système.
2025-12-29 15:08:11 | INFO     | HorizonAI | 🚀 Horizon AI Backend démarré.
2025-12-29 15:08:11 | INFO     | HorizonAI | 🟢 Commande de démarrage d'Ollama envoyée au système.
2025-12-29 15:08:14 | INFO     | HorizonAI | 🚀 Horizon AI Backend démarré.
2025-12-29 15:08:14 | INFO     | HorizonAI | 🟢 Commande de démarrage d'Ollama envoyée au système.
2025-12-29 15:08:16 | INFO     | HorizonAI | 🚀 Horizon AI Backend démarré.
2025-12-29 15:08:16 | INFO     | HorizonAI | 🟢 Commande de démarrage d'Ollama envoyée au système.
2025-12-29 15:08:18 | INFO     | HorizonAI | 🛑 Horizon AI Backend arrêté.
2025-12-29 15:08:18 | INFO     | HorizonAI | 🛑 Horizon AI Backend arrêté.
2025-12-29 15:08:18 | INFO     | HorizonAI | 🛑 Horizon AI Backend arrêté.
2025-12-29 15:08:18 | INFO     | HorizonAI | 🛑 Horizon AI Backend arrêté.
2025-12-29 15:10:38 | INFO     | HorizonAI | 🚀 Horizon AI Backend démarré.
2025-12-29 15:10:38 | INFO     | HorizonAI | 🟢 Commande de démarrage d'Ollama envoyée au système.
2025-12-29 15:11:25 | INFO     | HorizonAI | 🛑 Horizon AI Backend arrêté.
2025-12-29 15:14:45 | INFO     | HorizonAI | 🚀 Horizon AI Backend démarré.
2025-12-29 15:14:45 | INFO     | HorizonAI | 🟢 Commande de démarrage d'Ollama envoyée au système.
2025-12-29 15:15:38 | INFO     | HorizonAI | Paramètres utilisateur mis à jour
2025-12-29 15:21:50 | INFO     | HorizonAI | Paramètres utilisateur mis à jour
2025-12-29 15:23:55 | INFO     | HorizonAI | Paramètres utilisateur mis à jour
2025-12-29 15:24:24 | INFO     | HorizonAI | Paramètres utilisateur mis à jour
2025-12-29 16:44:45 | INFO     | HorizonAI | 🛑 Horizon AI Backend arrêté.
2025-12-29 16:44:50 | INFO     | HorizonAI | 🚀 Horizon AI Backend démarré.
2025-12-29 16:44:50 | INFO     | HorizonAI | 🟢 Commande de démarrage d'Ollama envoyée au système.
2025-12-29 16:49:08 | INFO     | HorizonAI | 🛑 Horizon AI Backend arrêté.
2025-12-29 16:49:21 | INFO     | HorizonAI | 🚀 Horizon AI Backend démarré.
2025-12-29 16:49:21 | INFO     | HorizonAI | 🟢 Commande de démarrage d'Ollama envoyée au système.
2025-12-29 16:52:13 | INFO     | HorizonAI | 🛑 Horizon AI Backend arrêté.
2025-12-29 16:52:16 | INFO     | HorizonAI | 🚀 Horizon AI Backend démarré.
2025-12-29 16:52:16 | INFO     | HorizonAI | 🟢 Commande de démarrage d'Ollama envoyée au système.
2025-12-29 16:52:41 | INFO     | HorizonAI | 🛑 Horizon AI Backend arrêté.
2025-12-29 16:52:48 | INFO     | HorizonAI | 🚀 Horizon AI Backend démarré.
2025-12-29 16:52:48 | INFO     | HorizonAI | 🟢 Commande de démarrage d'Ollama envoyée au système.
2025-12-29 16:56:28 | INFO     | HorizonAI | 🛑 Horizon AI Backend arrêté.
2025-12-29 16:56:32 | INFO     | HorizonAI | 🚀 Horizon AI Backend démarré.
2025-12-29 16:56:32 | INFO     | HorizonAI | 🟢 Commande de démarrage d'Ollama envoyée au système.
2025-12-29 16:58:24 | INFO     | HorizonAI | 🛑 Horizon AI Backend arrêté.
2025-12-29 16:58:28 | INFO     | HorizonAI | 🚀 Horizon AI Backend démarré.
2025-12-29 16:58:28 | INFO     | HorizonAI | 🟢 Commande de démarrage d'Ollama envoyée au système.
2025-12-29 16:59:15 | INFO     | HorizonAI | Paramètres utilisateur mis à jour
2025-12-29 17:30:35 | INFO     | HorizonAI | Paramètres utilisateur mis à jour
2025-12-29 17:30:38 | INFO     | HorizonAI | Paramètres utilisateur mis à jour
2025-12-29 17:30:38 | INFO     | HorizonAI | Paramètres utilisateur mis à jour
2025-12-29 17:30:39 | INFO     | HorizonAI | Paramètres utilisateur mis à jour
2025-12-29 17:30:55 | INFO     | HorizonAI | Paramètres utilisateur mis à jour
2025-12-29 22:40:11 | INFO     | HorizonAI | 🚀 Horizon AI Backend démarré.
2025-12-29 22:40:11 | INFO     | HorizonAI | 📂 Dossier Ollama personnalisé défini : C:\Users\horiz\Documents\ModelIa
2025-12-29 22:40:11 | INFO     | HorizonAI | 🟢 Commande de démarrage d'Ollama envoyée au système.
2025-12-29 22:51:18 | INFO     | HorizonAI | 📥 Téléchargement lancé pour le modèle : qwen2-math:7b
2025-12-29 23:12:30 | INFO     | HorizonAI | 🛑 Horizon AI Backend arrêté.
2025-12-30 00:10:45 | INFO     | HorizonAI | 🚀 Horizon AI Backend démarré.
2025-12-30 00:10:45 | INFO     | HorizonAI | 📂 Dossier Ollama personnalisé : C:\Users\horiz\Documents\ModelIa
2025-12-30 00:10:45 | INFO     | HorizonAI | 🟢 Ollama lancé
2025-12-30 00:11:13 | INFO     | HorizonAI | 🗑️ Modèle supprimé : qwen2-math:7b
2025-12-30 00:11:17 | INFO     | HorizonAI | 🗑️ Modèle supprimé : tinyllama:latest
2025-12-30 00:37:02 | INFO     | HorizonAI | 🛑 Horizon AI Backend arrêté.
2025-12-30 00:50:05 | INFO     | HorizonAI | 🚀 Horizon AI Backend démarré.
2025-12-30 00:50:05 | INFO     | HorizonAI | 📂 Dossier Ollama personnalisé : C:\Users\horiz\Documents\ModelIa
2025-12-30 00:50:05 | INFO     | HorizonAI | 🟢 Ollama lancé
2025-12-30 00:51:11 | INFO     | HorizonAI | 📥 Pull lancé : qwen2.5-coder:0.5b
2025-12-30 00:52:11 | INFO     | HorizonAI | 🗑️ Modèle supprimé : qwen2.5-coder:0.5b
2025-12-30 00:53:52 | INFO     | HorizonAI | ⚙️ Paramètres utilisateur mis à jour
2025-12-30 00:54:04 | INFO     | HorizonAI | ⚙️ Paramètres utilisateur mis à jour
